內部代號,印刷編號,說明
薑-13,4-288,
薑-14,4-127,
薑-15,4-150,
薑-16,2-308,
薑-17,4-146,
薑-18,4-292,
薑-19,4-243,
薑-20,4-246,
薑-21,4-261,
薑-22,4-266,
薑-23,4-143,
薑-24,4-250,
薑-25,4-298,
薑-26,4-145,
薑-27,4-232,
薑-28,4-294,
薑-29,4-236,
薑-30,4-362,
薑-31,4-156,
薑-32,4-257,
薑-33,4-233、4-282,
薑-34,4-254,
薑-35,4-286,
薑-36,4-267,
薑-37,4-242,
薑-38,4-289,
薑-39,4-76、4-119,
薑-40,4-82,
薑-41,4-132,
薑-42,4-234,
薑-43,4-149,
薑-44,4-239,已併入「塔蓬貝克閉鞘薑」
薑-45,4-239,
薑-46,4-158,
薑-47,4-244,
薑-48,4-251,
薑-49,4-249,
薑-50,4-235,
薑-51,4-278,
薑-52,4-277,
薑-53,4-297,
薑-54,4-270,
薑-55,4-265,
薑-56,4-248,
薑-57,4-279,
薑-58,4-269,
薑-59,4-162,
薑-60,4-157,
薑-61,4-255,
薑-62,4-287,
薑-63,4-260,
薑-64,4-238,
薑-65,4-293,
薑-66,4-144,
薑-67,4-259,
薑-68,4-263,
薑-69,4-153,
薑-70,4-290,
薑-71,4-161,
薑-72,4-256,
薑-73,4-151,
薑-74,4-258,
薑-75,4-148,
薑-76,4-296,
薑-77,4-241,
薑-78,4-268,
薑-79,4-264,
薑-80,4-125,
薑-81,4-147,
薑-82,4-291,
薑-83,4-253,
薑-84,4-160,
薑-85,4-142,
薑-86,4-281,
薑-87,4-140,
薑-88,4-262,
薑-89,4-280,
薑-90,4-276,
薑-91,4-154,
薑-92,4-124,
薑-93,4-295,
薑-94,4-285,
薑-95,,
薑-96,4-240,
薑-97,4-152,
薑-98,4-240,已併入「熱帶赫蕉」
薑-99,4-299,
蜜-01,,
蜜-02,2-238,
蜜-03,2-162、2-240,
蜜-04,2-112,
蜜-05,2-236,
蜜-06,2-235,
蜜-07,2-231,
蜜-08,2-108,
蜜-10,3-148,
蜜-11,2-229,
蜜-12,2-154、3-80,
蜜-13,2-196,
蜜-14,2-143,
蜜-15,2-141,
蜜-16,2-150,
蜜-17,2-149,
蜜-18,2-239,
蜜-19,2-195,
蜜-20,2-148、3-272,
蜜-21,2-232,
蜜-22,,
蜜-23,2-20,
蜜-24,2-147,
蜜-25,2-230,
蜜-26,2-111,
蜜-27,2-145,
蜜-28,2-234,
蜜-29,2-203,
蜜-30,2-199,
蜜-31,2-144,
蜜-32,2-204,
蜜-34,,
蜜-35,2-269,
蜜-36,2-227,
蜜-37,2-113,
蜜-38,2-194,
蜜-39,2-199,已併入「琉球野薔薇」
蜜-40,1-332、2-268、3-364,已併入「福木」
蜜-41,2-201,
蜜-42,2-233,
蜜-43,2-142,
蜜-44,2-153,
蜜-45,2-228,
蜜-46,2-200,
蜜-47,2-237,
蜜-48,2-17,
蜜-49,2-110,
蜜-50,2-148、3-272,已併入「龍骨瓣莕菜」
蜜-51,2-202,
蜜-52,,
蜜-53,2-114,
野-01,3-164,
野-02,3-163,
野-03,3-125,
野-04,3-84、3-107、3-109,已併入「紅果金粟蘭」
野-05,3-126,
野-06,3-161,
野-07,3-111,
野-08,3-159,
野-09,3-220,
野-10,3-165,
野-11,3-227,
野-12,,
野-13,3-156,
野-14,3-216,
野-15,3-160,
野-16,3-158,
野-17,3-162,
野-18,3-154,
野-19,3-172,
野-20,3-170,
野-21,2-16、3-245,
野-22,3-128、3-155,已併入「刺葉黃褥花」
野-23,3-128、3-155,
野-24,3-214,
野-25,3-224,
野-26,3-166,
野-27,3-213,
野-28,3-169,
野-29,3-174,
野-30,3-212,
野-31,3-215,
野-32,3-206、4-186,已併入「布列氏黃芩」
野-33,3-221,
野-34,3-225,
野-35,3-217,
野-36,3-204,
野-37,3-171,
野-38,3-168,
野-39,3-205,
野-40,3-208,
野-41,3-91,
野-42,3-226,
野-43,3-244,
野-44,3-209,
野-45,3-222,
野-46,3-243,
野-47,3-218,
野-48,,
野-49,3-207,
野-50,,
野-51,,
雙-01,3-200,
雙-02,3-331,
雙-03,2-264、3-286,
雙-04,3-72、3-279、4-37、4-113,
雙-05,3-368,
雙-06,2-178、3-326,
雙-07,1-352、3-347,
雙-08,3-325,
雙-09,3-108、3-327,
雙-10,3-176,
雙-11,3-345,
雙-12,3-350,
雙-13,3-250,
雙-14,3-202,
雙-15,3-197,
雙-16,3-120、3-121,已併入「裡白巴豆」
雙-17,3-287,
雙-18,3-124,
雙-19,3-340,
雙-20,3-123,
雙-21,3-182,
雙-22,2-197,
雙-23,3-249,
雙-24,3-248,
雙-25,3-122,
雙-26,3-118,
雙-27,3-112,
雙-28,3-179,
雙-29,3-282,
雙-30,3-198,
雙-31,3-328,
雙-32,3-246,
雙-33,3-346,
雙-34,3-276,
雙-35,3-177,
雙-36,3-275,
雙-37,3-114,
雙-38,3-201,
雙-39,3-181,
雙-40,4-86,
雙-41,3-199,
雙-42,3-195,
雙-43,3-256,
雙-44,3-339,
雙-45,3-344,
雙-46,3-178,
雙-47,1-332、2-268、3-364,
雙-48,3-120、3-121,
雙-49,3-329,
雙-50,3-354,
雙-51,3-330,
雙-52,3-285,
雙-53,3-113,
雙-54,3-184,
雙-55,3-192,
雙-56,3-192,已併入「子彈石櫟」
雙-57,3-343,
雙-58,3-183,
雙-59,3-348,
雙-60,3-186,
雙-61,3-352,
雙-62,3-247,
雙-63,3-193,
雙-65,3-332,
雙-66,3-119,
雙-67,3-196,
雙-68,3-180,
